n_jobs	Thread Time	Process Time
1	0.7780020236968994	0.7759995460510254
2	0.6520001888275146	0.4089992046356201
3	0.6380002498626709	0.3079991340637207
4	0.6319999694824219	0.2570021152496338
5	0.6459977626800537	0.23000192642211914
6	0.631000280380249	0.2109987735748291
7	0.6589992046356201	0.19500160217285156
8	0.6729979515075684	0.20799970626831055
9	0.661001443862915	0.20099997520446777
10	0.6669988632202148	0.2070004940032959
11	0.6570007801055908	0.2129988670349121
12	0.679999828338623	0.2160019874572754
13	0.640998363494873	0.22100043296813965
14	0.648000955581665	0.21599960327148438
15	0.6459994316101074	0.20999956130981445
16	0.6529998779296875	0.20800113677978516
17	0.652000904083252	0.21600008010864258
18	0.6469991207122803	0.2219994068145752
19	0.6399996280670166	0.22700023651123047
20	0.6479990482330322	0.22500085830688477
21	0.6500015258789062	0.21799898147583008
22	0.6620032787322998	0.22099781036376953
23	0.6539978981018066	0.22900080680847168
24	0.654998779296875	0.23800158500671387
25	0.655998945236206	0.23900151252746582
26	0.6409988403320312	0.25099968910217285
27	0.6469998359680176	0.25100040435791016
28	0.6510009765625	0.2499985694885254
29	0.644000768661499	0.2629997730255127
30	0.6580002307891846	0.26999902725219727
31	0.6640019416809082	0.2759983539581299
32	0.6630001068115234	0.2889993190765381
33	0.6550021171569824	0.28099846839904785
34	0.6550004482269287	0.2889993190765381
35	0.6660001277923584	0.30099987983703613
36	0.6570005416870117	0.301999568939209
37	0.6650018692016602	0.3079981803894043
38	0.6490011215209961	0.3209989070892334
39	0.6480007171630859	0.32899928092956543
40	0.6410017013549805	0.33099818229675293
41	0.6500017642974854	0.3419985771179199
42	0.6430001258850098	0.34999942779541016
43	0.647000789642334	0.34999942779541016
44	0.6569995880126953	0.3530006408691406
45	0.6610004901885986	0.36499929428100586
46	0.6519994735717773	0.36500120162963867
47	0.6459991931915283	0.3650016784667969
48	0.6549990177154541	0.37799930572509766
